id,category,difficulty,topicKey,question,choice1,choice2,choice3,choice4,answer,explanation,era,tags_pipe_separated
gpq_00001,歴代王者・記録,2,歴代王者・記録|year|1950|title,1950年のF1ドライバーズチャンピオンは誰？,ジュゼッペ・ファリーナ,ロニー・ピーターソン,カルロス・サインツ,フェルナンド・アロンソ,0,1950年のドライバーズチャンピオンはジュゼッペ・ファリーナです。,1950s,champion|driver|base1000
gpq_00002,歴代王者・記録,2,歴代王者・記録|year|1951|title,1951年のF1ドライバーズチャンピオンは誰？,ケビン・マグヌッセン,角田裕毅,ネルソン・ピケ,ファン・マヌエル・ファンジオ,3,1951年のドライバーズチャンピオンはファン・マヌエル・ファンジオです。,1950s,champion|driver|base1000
gpq_00003,歴代王者・記録,2,歴代王者・記録|year|1952|title,1952年のF1ドライバーズチャンピオンは誰？,ガブリエル・ボルトレト,ジェームス・ハント,アルベルト・アスカリ,アレクサンダー・アルボン,2,1952年のドライバーズチャンピオンはアルベルト・アスカリです。,1950s,champion|driver|base1000
gpq_00004,歴代王者・記録,2,歴代王者・記録|year|1953|title,1953年のF1ドライバーズチャンピオンは誰？,ジョディー・シェクター,スターリング・モス,ガブリエル・ボルトレト,アルベルト・アスカリ,3,1953年のドライバーズチャンピオンはアルベルト・アスカリです。,1950s,champion|driver|base1000
gpq_00005,歴代王者・記録,2,歴代王者・記録|year|1954|title,1954年のF1ドライバーズチャンピオンは誰？,キミ・アントネッリ,セバスチャン・ベッテル,フェルナンド・アロンソ,ファン・マヌエル・ファンジオ,3,1954年のドライバーズチャンピオンはファン・マヌエル・ファンジオです。,1950s,champion|driver|base1000
gpq_00006,歴代王者・記録,2,歴代王者・記録|year|1955|title,1955年のF1ドライバーズチャンピオンは誰？,グラハム・ヒル,ジュゼッペ・ファリーナ,ミハエル・シューマッハ,ファン・マヌエル・ファンジオ,3,1955年のドライバーズチャンピオンはファン・マヌエル・ファンジオです。,1950s,champion|driver|base1000
gpq_00007,歴代王者・記録,2,歴代王者・記録|year|1956|title,1956年のF1ドライバーズチャンピオンは誰？,ジョン・サーティース,ジェームス・ハント,オリバー・ベアマン,ファン・マヌエル・ファンジオ,3,1956年のドライバーズチャンピオンはファン・マヌエル・ファンジオです。,1950s,champion|driver|base1000
gpq_00008,歴代王者・記録,2,歴代王者・記録|year|1957|title,1957年のF1ドライバーズチャンピオンは誰？,ファン・マヌエル・ファンジオ,ケケ・ロズベルグ,スターリング・モス,ヨッヘン・リント,0,1957年のドライバーズチャンピオンはファン・マヌエル・ファンジオです。,1950s,champion|driver|base1000
gpq_00009,歴代王者・記録,2,歴代王者・記録|year|1958|title,1958年のF1ドライバーズチャンピオンは誰？,ミハエル・シューマッハ,マイク・ホーソーン,ニキ・ラウダ,マックス・フェルスタッペン,1,1958年のドライバーズチャンピオンはマイク・ホーソーンです。,1950s,champion|driver|base1000
gpq_00010,歴代王者・記録,2,歴代王者・記録|year|1959|title,1959年のF1ドライバーズチャンピオンは誰？,ジャック・ブラバム,ジョディー・シェクター,ルイス・ハミルトン,セバスチャン・ベッテル,0,1959年のドライバーズチャンピオンはジャック・ブラバムです。,1950s,champion|driver|base1000
gpq_00011,歴代王者・記録,2,歴代王者・記録|year|1960|title,1960年のF1ドライバーズチャンピオンは誰？,ケビン・マグヌッセン,ジャック・ブラバム,ヨッヘン・リント,デイモン・ヒル,1,1960年のドライバーズチャンピオンはジャック・ブラバムです。,1960s,champion|driver|base1000
gpq_00012,歴代王者・記録,2,歴代王者・記録|year|1961|title,1961年のF1ドライバーズチャンピオンは誰？,フィル・ヒル,アルベルト・アスカリ,ファン・マヌエル・ファンジオ,周冠宇,0,1961年のドライバーズチャンピオンはフィル・ヒルです。,1960s,champion|driver|base1000
gpq_00013,歴代王者・記録,2,歴代王者・記録|year|1962|title,1962年のF1ドライバーズチャンピオンは誰？,グラハム・ヒル,キミ・アントネッリ,ランス・ストロール,デニス・ハルム,0,1962年のドライバーズチャンピオンはグラハム・ヒルです。,1960s,champion|driver|base1000
gpq_00014,歴代王者・記録,2,歴代王者・記録|year|1963|title,1963年のF1ドライバーズチャンピオンは誰？,ジム・クラーク,ルイス・ハミルトン,セルジオ・ペレス,オリバー・ベアマン,0,1963年のドライバーズチャンピオンはジム・クラークです。,1960s,champion|driver|base1000
gpq_00015,歴代王者・記録,2,歴代王者・記録|year|1964|title,1964年のF1ドライバーズチャンピオンは誰？,マリオ・アンドレッティ,ジョン・サーティース,ローガン・サージェント,カルロス・サインツ,1,1964年のドライバーズチャンピオンはジョン・サーティースです。,1960s,champion|driver|base1000
gpq_00016,歴代王者・記録,2,歴代王者・記録|year|1965|title,1965年のF1ドライバーズチャンピオンは誰？,ジム・クラーク,アラン・ジョーンズ,ランス・ストロール,マックス・フェルスタッペン,0,1965年のドライバーズチャンピオンはジム・クラークです。,1960s,champion|driver|base1000
gpq_00017,歴代王者・記録,2,歴代王者・記録|year|1966|title,1966年のF1ドライバーズチャンピオンは誰？,ジャック・ヴィルヌーヴ,スターリング・モス,ロニー・ピーターソン,ジャック・ブラバム,3,1966年のドライバーズチャンピオンはジャック・ブラバムです。,1960s,champion|driver|base1000
gpq_00018,歴代王者・記録,2,歴代王者・記録|year|1967|title,1967年のF1ドライバーズチャンピオンは誰？,デニス・ハルム,ジャック・ブラバム,リアム・ローソン,ジュゼッペ・ファリーナ,0,1967年のドライバーズチャンピオンはデニス・ハルムです。,1960s,champion|driver|base1000
gpq_00019,歴代王者・記録,2,歴代王者・記録|year|1968|title,1968年のF1ドライバーズチャンピオンは誰？,ジョディー・シェクター,グラハム・ヒル,ダニエル・リカルド,ヨッヘン・リント,1,1968年のドライバーズチャンピオンはグラハム・ヒルです。,1960s,champion|driver|base1000
gpq_00020,歴代王者・記録,2,歴代王者・記録|year|1969|title,1969年のF1ドライバーズチャンピオンは誰？,ミカ・ハッキネン,ジャッキー・スチュワート,アイザック・ハジャー,ヨッヘン・リント,1,1969年のドライバーズチャンピオンはジャッキー・スチュワートです。,1960s,champion|driver|base1000
gpq_00021,歴代王者・記録,2,歴代王者・記録|year|1970|title,1970年のF1ドライバーズチャンピオンは誰？,アラン・ジョーンズ,ヨッヘン・リント,フランコ・コラピント,バルテリ・ボッタス,1,1970年のドライバーズチャンピオンはヨッヘン・リントです。,1970s,champion|driver|base1000
gpq_00022,歴代王者・記録,2,歴代王者・記録|year|1971|title,1971年のF1ドライバーズチャンピオンは誰？,ニコ・ヒュルケンベルグ,ジャッキー・スチュワート,マイク・ホーソーン,アラン・ジョーンズ,1,1971年のドライバーズチャンピオンはジャッキー・スチュワートです。,1970s,champion|driver|base1000
gpq_00023,歴代王者・記録,2,歴代王者・記録|year|1972|title,1972年のF1ドライバーズチャンピオンは誰？,エマーソン・フィッティパルディ,ファン・マヌエル・ファンジオ,ランス・ストロール,ジュゼッペ・ファリーナ,0,1972年のドライバーズチャンピオンはエマーソン・フィッティパルディです。,1970s,champion|driver|base1000
gpq_00024,歴代王者・記録,2,歴代王者・記録|year|1973|title,1973年のF1ドライバーズチャンピオンは誰？,ジャッキー・スチュワート,ランド・ノリス,キミ・アントネッリ,エステバン・オコン,0,1973年のドライバーズチャンピオンはジャッキー・スチュワートです。,1970s,champion|driver|base1000
gpq_00025,歴代王者・記録,2,歴代王者・記録|year|1974|title,1974年のF1ドライバーズチャンピオンは誰？,マリオ・アンドレッティ,ミカ・ハッキネン,エマーソン・フィッティパルディ,ケビン・マグヌッセン,2,1974年のドライバーズチャンピオンはエマーソン・フィッティパルディです。,1970s,champion|driver|base1000
gpq_00026,歴代王者・記録,2,歴代王者・記録|year|1975|title,1975年のF1ドライバーズチャンピオンは誰？,ニキ・ラウダ,ルイス・ハミルトン,ロニー・ピーターソン,ランス・ストロール,0,1975年のドライバーズチャンピオンはニキ・ラウダです。,1970s,champion|driver|base1000
gpq_00027,歴代王者・記録,2,歴代王者・記録|year|1976|title,1976年のF1ドライバーズチャンピオンは誰？,リアム・ローソン,ガブリエル・ボルトレト,アレクサンダー・アルボン,ジェームス・ハント,3,1976年のドライバーズチャンピオンはジェームス・ハントです。,1970s,champion|driver|base1000
gpq_00028,歴代王者・記録,2,歴代王者・記録|year|1977|title,1977年のF1ドライバーズチャンピオンは誰？,ニキ・ラウダ,スターリング・モス,ジュゼッペ・ファリーナ,アラン・プロスト,0,1977年のドライバーズチャンピオンはニキ・ラウダです。,1970s,champion|driver|base1000
gpq_00029,歴代王者・記録,2,歴代王者・記録|year|1978|title,1978年のF1ドライバーズチャンピオンは誰？,マリオ・アンドレッティ,ジョディー・シェクター,角田裕毅,リアム・ローソン,0,1978年のドライバーズチャンピオンはマリオ・アンドレッティです。,1970s,champion|driver|base1000
gpq_00030,歴代王者・記録,2,歴代王者・記録|year|1979|title,1979年のF1ドライバーズチャンピオンは誰？,フランコ・コラピント,角田裕毅,ジョディー・シェクター,ニキ・ラウダ,2,1979年のドライバーズチャンピオンはジョディー・シェクターです。,1970s,champion|driver|base1000
gpq_00031,歴代王者・記録,2,歴代王者・記録|year|1980|title,1980年のF1ドライバーズチャンピオンは誰？,グラハム・ヒル,アラン・ジョーンズ,セルジオ・ペレス,ダニエル・リカルド,1,1980年のドライバーズチャンピオンはアラン・ジョーンズです。,1980s,champion|driver|base1000
gpq_00032,歴代王者・記録,2,歴代王者・記録|year|1981|title,1981年のF1ドライバーズチャンピオンは誰？,ガブリエル・ボルトレト,角田裕毅,ネルソン・ピケ,フィル・ヒル,2,1981年のドライバーズチャンピオンはネルソン・ピケです。,1980s,champion|driver|base1000
gpq_00033,歴代王者・記録,2,歴代王者・記録|year|1982|title,1982年のF1ドライバーズチャンピオンは誰？,ニコ・ロズベルグ,ジャック・ヴィルヌーヴ,ジム・クラーク,ケケ・ロズベルグ,3,1982年のドライバーズチャンピオンはケケ・ロズベルグです。,1980s,champion|driver|base1000
gpq_00034,歴代王者・記録,2,歴代王者・記録|year|1983|title,1983年のF1ドライバーズチャンピオンは誰？,ネルソン・ピケ,ジェームス・ハント,ジュゼッペ・ファリーナ,ジム・クラーク,0,1983年のドライバーズチャンピオンはネルソン・ピケです。,1980s,champion|driver|base1000
gpq_00035,歴代王者・記録,2,歴代王者・記録|year|1984|title,1984年のF1ドライバーズチャンピオンは誰？,ランド・ノリス,グラハム・ヒル,ミハエル・シューマッハ,ニキ・ラウダ,3,1984年のドライバーズチャンピオンはニキ・ラウダです。,1980s,champion|driver|base1000
gpq_00036,歴代王者・記録,2,歴代王者・記録|year|1985|title,1985年のF1ドライバーズチャンピオンは誰？,アラン・プロスト,ルイス・ハミルトン,ジョディー・シェクター,ランス・ストロール,0,1985年のドライバーズチャンピオンはアラン・プロストです。,1980s,champion|driver|base1000
gpq_00037,歴代王者・記録,2,歴代王者・記録|year|1986|title,1986年のF1ドライバーズチャンピオンは誰？,ランス・ストロール,シャルル・ルクレール,アラン・プロスト,ジョディー・シェクター,2,1986年のドライバーズチャンピオンはアラン・プロストです。,1980s,champion|driver|base1000
