id,questionSet,category,difficulty,season,grandPrix,topicKey,question,choice1,choice2,choice3,choice4,answer,explanation,sources
gpq_10001,F1レース別出来事・マニア,F1レース別出来事,5,1990,日本GP,race|1990|日本GP|セナとプロストの1コーナー接触,1990年日本GPで起きた出来事として正しいものは？,スタート直後にセナとプロストが接触し、タイトル争いが決着した,全車が給油違反で失格になった,雨でレースが中止された,フェラーリが1-2で独走した,0,1990年日本GPはセナとプロストの接触により、タイトル争いを象徴する一戦になりました。,Formula 1 Official Results Archive 1990 races - https://www.formula1.com/en/results/1990/races | Honda Racing F1 1990 archive - https://global.honda/en/F1/race/1990/
gpq_10002,F1レース別出来事・マニア,F1レース別出来事,5,1990,日本GP,race|1990|日本GP|セナとプロストの1コーナー接触,マニア向け：1990年日本GPの重要トピックは？,雨でレースが中止された,スタート直後にセナとプロストが接触し、タイトル争いが決着した,全車が給油違反で失格になった,フェラーリが1-2で独走した,1,1990年日本GPはセナとプロストの接触により、タイトル争いを象徴する一戦になりました。,Formula 1 Official Results Archive 1990 races - https://www.formula1.com/en/results/1990/races | Honda Racing F1 1990 archive - https://global.honda/en/F1/race/1990/
gpq_10003,F1レース別出来事・マニア,F1レース別出来事,5,1990,日本GP,race|1990|日本GP|セナとプロストの1コーナー接触,レース別出来事：1990年日本GPを象徴する内容は？,フェラーリが1-2で独走した,全車が給油違反で失格になった,雨でレースが中止された,スタート直後にセナとプロストが接触し、タイトル争いが決着した,3,1990年日本GPはセナとプロストの接触により、タイトル争いを象徴する一戦になりました。,Formula 1 Official Results Archive 1990 races - https://www.formula1.com/en/results/1990/races | Honda Racing F1 1990 archive - https://global.honda/en/F1/race/1990/
gpq_10004,F1レース別出来事・マニア,F1レース別リザルト,3,1990,オーストラリアGP,race|1990|オーストラリアGP|最終戦でピケが勝利,1990年オーストラリアGPで起きた出来事として正しいものは？,ネルソン・ピケが勝利した,アラン・プロストが初タイトルを決めた,アイルトン・セナが完走優勝した,ミハエル・シューマッハがF1初優勝した,0,1990年オーストラリアGPの公式結果ではネルソン・ピケが勝者として記録されています。,Formula 1 Official Results Archive 1990 races - https://www.formula1.com/en/results/1990/races
gpq_10005,F1レース別出来事・マニア,F1レース別リザルト,4,1990,オーストラリアGP,race|1990|オーストラリアGP|最終戦でピケが勝利,マニア向け：1990年オーストラリアGPの重要トピックは？,ミハエル・シューマッハがF1初優勝した,ネルソン・ピケが勝利した,アラン・プロストが初タイトルを決めた,アイルトン・セナが完走優勝した,1,1990年オーストラリアGPの公式結果ではネルソン・ピケが勝者として記録されています。,Formula 1 Official Results Archive 1990 races - https://www.formula1.com/en/results/1990/races
gpq_10006,F1レース別出来事・マニア,F1レース別リザルト,3,1990,オーストラリアGP,race|1990|オーストラリアGP|最終戦でピケが勝利,レース別出来事：1990年オーストラリアGPを象徴する内容は？,ネルソン・ピケが勝利した,アラン・プロストが初タイトルを決めた,ミハエル・シューマッハがF1初優勝した,アイルトン・セナが完走優勝した,0,1990年オーストラリアGPの公式結果ではネルソン・ピケが勝者として記録されています。,Formula 1 Official Results Archive 1990 races - https://www.formula1.com/en/results/1990/races
gpq_10007,F1レース別出来事・マニア,F1レース別出来事,4,1991,ブラジルGP,race|1991|ブラジルGP|セナ母国初優勝,1991年ブラジルGPで起きた出来事として正しいものは？,ピットレーンスタートから全車周回遅れにした,雨で半周だけ行われた,全車がスリック禁止になった,アイルトン・セナがギアトラブルを抱えながら母国初優勝した,3,1991年ブラジルGPは、セナの母国初優勝として語られる名レースです。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10008,F1レース別出来事・マニア,F1レース別出来事,5,1991,ブラジルGP,race|1991|ブラジルGP|セナ母国初優勝,マニア向け：1991年ブラジルGPの重要トピックは？,全車がスリック禁止になった,ピットレーンスタートから全車周回遅れにした,アイルトン・セナがギアトラブルを抱えながら母国初優勝した,雨で半周だけ行われた,2,1991年ブラジルGPは、セナの母国初優勝として語られる名レースです。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10009,F1レース別出来事・マニア,F1レース別出来事,4,1991,ブラジルGP,race|1991|ブラジルGP|セナ母国初優勝,レース別出来事：1991年ブラジルGPを象徴する内容は？,アイルトン・セナがギアトラブルを抱えながら母国初優勝した,ピットレーンスタートから全車周回遅れにした,雨で半周だけ行われた,全車がスリック禁止になった,0,1991年ブラジルGPは、セナの母国初優勝として語られる名レースです。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10010,F1レース別出来事・マニア,F1レース別出来事,4,1992,モナコGP,race|1992|モナコGP|マンセルとセナの終盤攻防,1992年モナコGPで起きた出来事として正しいものは？,マンセルが周回遅れで優勝した,セナがスタートできなかった,マンセルがタイヤ交換後にセナを猛追したが抜けなかった,全車が赤旗で順位消滅した,2,1992年モナコGPは、終盤のマンセル対セナの攻防で有名です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10011,F1レース別出来事・マニア,F1レース別出来事,5,1992,モナコGP,race|1992|モナコGP|マンセルとセナの終盤攻防,マニア向け：1992年モナコGPの重要トピックは？,マンセルがタイヤ交換後にセナを猛追したが抜けなかった,セナがスタートできなかった,マンセルが周回遅れで優勝した,全車が赤旗で順位消滅した,0,1992年モナコGPは、終盤のマンセル対セナの攻防で有名です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10012,F1レース別出来事・マニア,F1レース別出来事,4,1992,モナコGP,race|1992|モナコGP|マンセルとセナの終盤攻防,レース別出来事：1992年モナコGPを象徴する内容は？,マンセルがタイヤ交換後にセナを猛追したが抜けなかった,マンセルが周回遅れで優勝した,セナがスタートできなかった,全車が赤旗で順位消滅した,0,1992年モナコGPは、終盤のマンセル対セナの攻防で有名です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10013,F1レース別出来事・マニア,F1雨の名レース,5,1993,ヨーロッパGP,race|1993|ヨーロッパGP|雨のドニントン,1993年ヨーロッパGPで起きた出来事として正しいものは？,セナが雨のオープニングラップで驚異的な追い上げを見せた,全車がドライタイヤのみで走った,セーフティカーだけで全周回が終わった,予選だけで優勝が決まった,0,1993年ヨーロッパGPは雨のドニントンとして知られ、セナの名レースに数えられます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10014,F1レース別出来事・マニア,F1雨の名レース,5,1993,ヨーロッパGP,race|1993|ヨーロッパGP|雨のドニントン,マニア向け：1993年ヨーロッパGPの重要トピックは？,全車がドライタイヤのみで走った,セナが雨のオープニングラップで驚異的な追い上げを見せた,予選だけで優勝が決まった,セーフティカーだけで全周回が終わった,1,1993年ヨーロッパGPは雨のドニントンとして知られ、セナの名レースに数えられます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10015,F1レース別出来事・マニア,F1雨の名レース,5,1993,ヨーロッパGP,race|1993|ヨーロッパGP|雨のドニントン,レース別出来事：1993年ヨーロッパGPを象徴する内容は？,全車がドライタイヤのみで走った,セナが雨のオープニングラップで驚異的な追い上げを見せた,セーフティカーだけで全周回が終わった,予選だけで優勝が決まった,1,1993年ヨーロッパGPは雨のドニントンとして知られ、セナの名レースに数えられます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10016,F1レース別出来事・マニア,F1安全史・重大事故,5,1994,サンマリノGP,race|1994|サンマリノGP|悲劇の週末,1994年サンマリノGPで起きた出来事として正しいものは？,アイルトン・セナとローランド・ラッツェンバーガーが事故で亡くなった,全車が無事故で完走した,給油が初めて禁止された,F1初のナイトレースだった,0,1994年サンマリノGPはF1安全史における重大な転換点です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10017,F1レース別出来事・マニア,F1安全史・重大事故,5,1994,サンマリノGP,race|1994|サンマリノGP|悲劇の週末,マニア向け：1994年サンマリノGPの重要トピックは？,全車が無事故で完走した,給油が初めて禁止された,アイルトン・セナとローランド・ラッツェンバーガーが事故で亡くなった,F1初のナイトレースだった,2,1994年サンマリノGPはF1安全史における重大な転換点です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10018,F1レース別出来事・マニア,F1安全史・重大事故,5,1994,サンマリノGP,race|1994|サンマリノGP|悲劇の週末,レース別出来事：1994年サンマリノGPを象徴する内容は？,アイルトン・セナとローランド・ラッツェンバーガーが事故で亡くなった,F1初のナイトレースだった,全車が無事故で完走した,給油が初めて禁止された,0,1994年サンマリノGPはF1安全史における重大な転換点です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
