id,category,difficulty,question,choice1,choice2,choice3,choice4,answer_0based,explanation,era,tags_pipe_separated
gpq_00001,歴代王者・記録,1,F1世界選手権の初代ドライバーズチャンピオンは誰？,ジュゼッペ・ファリーナ,ファン・マヌエル・ファンジオ,アルベルト・アスカリ,スターリング・モス,0,1950年の初代王者はジュゼッペ・ファリーナです。,1950s,champion
gpq_00002,歴代王者・記録,2,ファン・マヌエル・ファンジオが獲得したドライバーズタイトル数は？,3回,4回,5回,7回,2,ファンジオは1950年代に5度の王者となりました。,1950s,champion
gpq_00003,歴代王者・記録,2,アルベルト・アスカリが連覇した年の組み合わせは？,1950年・1951年,1952年・1953年,1954年・1955年,1956年・1957年,1,アスカリは1952年と1953年に連続王者となりました。,1950s,champion
gpq_00004,歴代王者・記録,2,スターリング・モスについて正しい説明は？,F1王者を3回獲得した,F1王者にはなっていないが名手として知られる,フェラーリ専属で全キャリアを過ごした,1990年代の王者である,1,スターリング・モスは王者未経験ながら、F1史上屈指の名手として知られます。,1950s,driver
gpq_00005,歴代王者・記録,3,親子でF1ドライバーズチャンピオンになった組み合わせは？,グラハム・ヒルとデイモン・ヒル,ジル・ヴィルヌーヴとジャック・ヴィルヌーヴ,ケケ・ロズベルグとニコ・ロズベルグ,1と3の両方,3,グラハム/デイモン・ヒル、ケケ/ニコ・ロズベルグはいずれも親子王者です。,1990s,champion|family
gpq_00006,歴代王者・記録,2,アイルトン・セナのドライバーズタイトル獲得回数は？,2回,3回,4回,5回,1,セナは1988年、1990年、1991年の3回王者になりました。,1980s,driver
gpq_00007,歴代王者・記録,2,アラン・プロストのドライバーズタイトル獲得回数は？,3回,4回,5回,7回,1,プロストは1985年、1986年、1989年、1993年の4回王者です。,1980s,driver
gpq_00008,歴代王者・記録,1,ミハエル・シューマッハのドライバーズタイトル獲得回数は？,5回,6回,7回,8回,2,シューマッハは通算7回のドライバーズタイトルを獲得しました。,2000s,driver
gpq_00009,歴代王者・記録,1,ルイス・ハミルトンが初めてF1王者になった年は？,2007年,2008年,2009年,2010年,1,ハミルトンは2008年に初タイトルを獲得しました。,2000s,driver
gpq_00010,歴代王者・記録,2,キミ・ライコネンがドライバーズタイトルを獲得した年は？,2005年,2006年,2007年,2008年,2,ライコネンは2007年にフェラーリで王者になりました。,2000s,driver
gpq_00011,歴代王者・記録,1,ジェンソン・バトンが2009年に王者になったチームは？,マクラーレン,ブラウンGP,ウィリアムズ,ルノー,1,バトンは2009年にブラウンGPで王者になりました。,2000s,team
gpq_00012,歴代王者・記録,2,ニコ・ロズベルグがF1王者になった年は？,2014年,2015年,2016年,2017年,2,ロズベルグは2016年にメルセデスで王者になりました。,2010s,driver
gpq_00013,歴代王者・記録,1,マックス・フェルスタッペンが初めてF1王者になった年は？,2019年,2020年,2021年,2022年,2,フェルスタッペンは2021年に初タイトルを獲得しました。,2020s,driver
gpq_00014,歴代王者・記録,2,セバスチャン・ベッテルが4連覇した期間は？,2007〜2010年,2010〜2013年,2012〜2015年,2014〜2017年,1,ベッテルは2010年から2013年まで4年連続で王者になりました。,2010s,driver
gpq_00015,歴代王者・記録,2,フェルナンド・アロンソが連覇した年は？,2003年・2004年,2005年・2006年,2007年・2008年,2009年・2010年,1,アロンソはルノーで2005年と2006年に連覇しました。,2000s,driver
gpq_00016,歴代王者・記録,2,2025年のドライバーズチャンピオンとしてアプリ初期データに登録している人物は？,ランド・ノリス,マックス・フェルスタッペン,オスカー・ピアストリ,ジョージ・ラッセル,0,この初期データでは、2025年の公式結果アーカイブに基づきランド・ノリスを登録しています。,2020s,latest
gpq_00017,チーム・コンストラクター,1,F1で最も歴史が長く、全シーズン参戦で知られるチームは？,フェラーリ,メルセデス,レッドブル,アルピーヌ,0,フェラーリはF1の歴史を代表する名門チームです。,all,team
gpq_00018,チーム・コンストラクター,2,マクラーレンの創設者として知られる人物は？,ブルース・マクラーレン,フランク・ウィリアムズ,コーリン・チャップマン,エンツォ・フェラーリ,0,マクラーレンはブルース・マクラーレンに由来します。,1960s,team
gpq_00019,チーム・コンストラクター,2,ウィリアムズF1の創設に深く関わった人物の組み合わせは？,フランク・ウィリアムズとパトリック・ヘッド,ロン・デニスとエイドリアン・ニューウェイ,エンツォ・フェラーリとマウロ・フォルギエリ,ケン・ティレルとジャッキー・スチュワート,0,ウィリアムズはフランク・ウィリアムズとパトリック・ヘッドの名と深く結びつきます。,1970s,team
gpq_00020,チーム・コンストラクター,2,ブラウンGPがF1に参戦して王者になった年は？,2008年,2009年,2010年,2011年,1,ブラウンGPは2009年のみ参戦し、ドライバーズとコンストラクターズの両タイトルを獲得しました。,2000s,team
gpq_00021,チーム・コンストラクター,2,ベネトン時代にミハエル・シューマッハが初タイトルを獲得した年は？,1992年,1993年,1994年,1996年,2,シューマッハは1994年にベネトンで初タイトルを獲得しました。,1990s,team
gpq_00022,チーム・コンストラクター,2,レッドブル・レーシングが初めてコンストラクターズ王者になった年は？,2009年,2010年,2011年,2012年,1,レッドブルは2010年に初のコンストラクターズタイトルを獲得しました。,2010s,team
gpq_00023,チーム・コンストラクター,1,2024年のコンストラクターズ王者は？,マクラーレン,レッドブル,フェラーリ,メルセデス,0,2024年のコンストラクターズ王者はマクラーレンです。,2020s,team
gpq_00024,チーム・コンストラクター,2,ジョーダン・グランプリから発展した系譜に最も近い現在系のチーム名は？,アストンマーティン,フェラーリ,メルセデス,ハース,0,ジョーダンは後にミッドランド、スパイカー、フォース・インディア、レーシングポイントを経てアストンマーティンへつながる系譜です。,2000s,team
gpq_00025,チーム・コンストラクター,2,トヨタがF1にワークス参戦した期間として正しいものは？,1998〜2004年,2002〜2009年,2010〜2016年,2014〜2020年,1,トヨタは2002年から2009年までF1にワークス参戦しました。,2000s,japan|team
gpq_00026,チーム・コンストラクター,2,スーパーアグリがF1に参戦した主な期間は？,2001〜2003年,2006〜2008年,2010〜2012年,2014〜2016年,1,スーパーアグリは2006年から2008年にかけて参戦しました。,2000s,japan|team
gpq_00027,F1マシン・技術,1,DRSの主な目的は？,ブレーキ温度を下げる,空気抵抗を減らして追い抜きを助ける,燃料を追加する,タイヤを冷却する,1,DRSはリアウイングの一部を開き、空気抵抗を減らして直線速度を伸ばす仕組みです。,2010s,technology
gpq_00028,F1マシン・技術,1,HaloがF1で正式導入された年は？,2016年,2017年,2018年,2019年,2,Haloは2018年からF1に正式導入されました。,2010s,safety
gpq_00029,F1マシン・技術,2,ターボエンジンをF1に本格的に持ち込んだメーカーとして有名なのは？,ルノー,ホンダ,BMW,フォード,0,ルノーは1977年にターボエンジンのF1マシンを投入しました。,1970s,engine
gpq_00030,F1マシン・技術,2,現代F1のV6ターボハイブリッド時代が始まった年は？,2010年,2012年,2014年,2016年,2,V6ターボハイブリッドのパワーユニット規定は2014年から始まりました。,2010s,engine
gpq_00031,F1マシン・技術,3,グラウンドエフェクトカーで有名なロータスの代表的マシンは？,ロータス49,ロータス72,ロータス78,ロータス102,2,ロータス78はグラウンドエフェクトを活用した代表的マシンです。,1970s,aero
gpq_00032,F1マシン・技術,2,6輪F1マシンとして有名な車両は？,ティレルP34,ロータス79,マクラーレンMP4/4,フェラーリF2004,0,ティレルP34は前輪4本・後輪2本の6輪マシンとして有名です。,1970s,car
gpq_00033,F1マシン・技術,3,アクティブサスペンションで圧倒的な強さを見せた1992年のウィリアムズ車は？,FW11B,FW14B,FW18,FW26,1,ウィリアムズFW14Bはアクティブサスペンションなどの技術で知られます。,1990s,car
gpq_00034,F1マシン・技術,3,F1でセミオートマチックギアボックスを本格的に印象づけた1989年のフェラーリ車は？,640,F2002,312T,F187,0,フェラーリ640はセミオートマチックギアボックスで知られます。,1980s,gearbox
gpq_00035,F1マシン・技術,2,2010年以降、決勝中の給油について正しい説明は？,自由に給油できる,基本的に禁止された,雨天時のみ可能,セーフティカー中のみ可能,1,2010年からレース中の給油は禁止されました。,2010s,rules|fuel
gpq_00036,F1マシン・技術,2,2022年の大きな車両規則変更で重視された空力コンセプトは？,グラウンドエフェクト,6輪化,給油復活,V12エンジン化,0,2022年規則ではフロア下の気流を活用するグラウンドエフェクトが重視されました。,2020s,aero
gpq_00037,F1マシン・技術,1,スリックタイヤとは何？,溝のないドライ用タイヤ,雨専用タイヤ,氷上用タイヤ,予選専用の燃料,0,スリックタイヤは溝がないドライ路面用タイヤです。,all,tyre
gpq_00038,F1マシン・技術,1,インターミディエイトタイヤが使われやすい状況は？,完全なドライ路面,小雨や乾きかけの路面,雪道,ピットレーンだけ,1,インターミディエイトはフルウェットほどではない濡れた路面で使われます。,all,tyre
gpq_00039,F1マシン・技術,2,ディフューザーの主な役割は？,燃料を噴射する,車体下の空気を整えてダウンフォースに寄与する,ドライバーを冷やす,無線を受信する,1,ディフューザーは車体下部の空気の流れを利用し、ダウンフォース発生に関係します。,all,aero
gpq_00040,F1マシン・技術,2,ERSとは何に関係する仕組み？,エネルギー回生・放出,タイヤ交換,無線通信,給油,0,ERSはエネルギー回生システムで、回収したエネルギーを走行に利用します。,2010s,hybrid
