id,questionSet,category,difficulty,topicKey,question
gpq_00001,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1950|title,1950年のF1ドライバーズチャンピオンは誰？
gpq_00002,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1951|title,1951年のF1ドライバーズチャンピオンは誰？
gpq_00003,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1952|title,1952年のF1ドライバーズチャンピオンは誰？
gpq_00004,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1953|title,1953年のF1ドライバーズチャンピオンは誰？
gpq_00005,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1954|title,1954年のF1ドライバーズチャンピオンは誰？
gpq_00006,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1955|title,1955年のF1ドライバーズチャンピオンは誰？
gpq_00007,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1956|title,1956年のF1ドライバーズチャンピオンは誰？
gpq_00008,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1957|title,1957年のF1ドライバーズチャンピオンは誰？
gpq_00009,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1958|title,1958年のF1ドライバーズチャンピオンは誰？
gpq_00010,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1959|title,1959年のF1ドライバーズチャンピオンは誰？
gpq_00011,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1960|title,1960年のF1ドライバーズチャンピオンは誰？
gpq_00012,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1961|title,1961年のF1ドライバーズチャンピオンは誰？
gpq_00013,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1962|title,1962年のF1ドライバーズチャンピオンは誰？
gpq_00014,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1963|title,1963年のF1ドライバーズチャンピオンは誰？
gpq_00015,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1964|title,1964年のF1ドライバーズチャンピオンは誰？
gpq_00016,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1965|title,1965年のF1ドライバーズチャンピオンは誰？
gpq_00017,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1966|title,1966年のF1ドライバーズチャンピオンは誰？
gpq_00018,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1967|title,1967年のF1ドライバーズチャンピオンは誰？
gpq_00019,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1968|title,1968年のF1ドライバーズチャンピオンは誰？
gpq_00020,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1969|title,1969年のF1ドライバーズチャンピオンは誰？
gpq_00021,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1970|title,1970年のF1ドライバーズチャンピオンは誰？
gpq_00022,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1971|title,1971年のF1ドライバーズチャンピオンは誰？
gpq_00023,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1972|title,1972年のF1ドライバーズチャンピオンは誰？
gpq_00024,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1973|title,1973年のF1ドライバーズチャンピオンは誰？
gpq_00025,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1974|title,1974年のF1ドライバーズチャンピオンは誰？
gpq_00026,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1975|title,1975年のF1ドライバーズチャンピオンは誰？
gpq_00027,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1976|title,1976年のF1ドライバーズチャンピオンは誰？
gpq_00028,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1977|title,1977年のF1ドライバーズチャンピオンは誰？
gpq_00029,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1978|title,1978年のF1ドライバーズチャンピオンは誰？
gpq_00030,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1979|title,1979年のF1ドライバーズチャンピオンは誰？
gpq_00031,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1980|title,1980年のF1ドライバーズチャンピオンは誰？
gpq_00032,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1981|title,1981年のF1ドライバーズチャンピオンは誰？
gpq_00033,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1982|title,1982年のF1ドライバーズチャンピオンは誰？
gpq_00034,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1983|title,1983年のF1ドライバーズチャンピオンは誰？
gpq_00035,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1984|title,1984年のF1ドライバーズチャンピオンは誰？
gpq_00036,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1985|title,1985年のF1ドライバーズチャンピオンは誰？
gpq_00037,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1986|title,1986年のF1ドライバーズチャンピオンは誰？
gpq_00038,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1987|title,1987年のF1ドライバーズチャンピオンは誰？
gpq_00039,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1988|title,1988年のF1ドライバーズチャンピオンは誰？
gpq_00040,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1989|title,1989年のF1ドライバーズチャンピオンは誰？
gpq_00041,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1990|title,1990年のF1ドライバーズチャンピオンは誰？
gpq_00042,F1・クルマ総合,歴代王者・記録,2,歴代王者・記録|year|1991|title,1991年のF1ドライバーズチャンピオンは誰？
